teprenon||teprenone|teprenona|teprenonum|stepronin|eplerenone|eplerenona|loteprednol|serenoa|verbenone|arterenol
jnso24er||iso24|consonar|monofer|nanosilver|neopterin|sobrerol|nps-2143|dynasore|endostar|ns-2359
air||aicar|caviar|gambir|aspirin|racivir|amitraz|salix|favid|safra|snail
anti-influenza drug||influenza virus type b|acidum flufenamicum|teriflunomidum|artemisia opulenta root|canagliflozin anhydrous|antimony pentasulfide|anti-d immunoglobulin|indian laburnum fruit|atlantic bluefin tuna|ampicillin anhydrous
valgancyclovir||valganciclovir|valacyclovir|gancyclovir|valaciclovir|valomaciclovir|ganciclovir|valaciclovirum|acyclovir|ganciclovirum|aciclovir
inorganic preparation||brown rice preparation|serenoa preparation|schizandra preparation|oats preparation|honey preparation|corn starch preparation|salmon preparation|caviar preparation|rhubarb preparation|lamb preparation
acetyl phenetride||acetyl chloride|acetophenetidine|acetphenetidin|acetophenetidin|acetyl hexapeptide-3|acetyl hexapeptide-8|acetophenetin|acetyleneurea|acetyl proline|ethylphenacemide
jnj-54781532||jnj-41443532|jnj-54861911|jnj-54452840|jnj-27548547|jnj-54175446|jnj-40411813|jnj-26489112|jnj-42165279|jnj-42396302|jnj-42847922
vaccines (general drugs)||acacia senegal resin|acacia senegal gum|vaccinium nigrum fruit|chinese ginseng fruit|vaccinium ramulosum fruit|vaccinia immune globulin|doxycycline (anhydrous)|vaccinium myrtillus fruit|vaccinium humile fruit|dasatinib (anhydrous)
7990992||al7099a|ru90395|ru79072|xl999|sr-9009|al7089a|pf-04995274|pf-04991532|bms-790052|cra_10991
anti-inflammatory drug||antineoplaston a 10|antineoplaston a10|antiscurvy factor c2|viral macrophage-inflammatory protein|analogue of indinavir drug|vaccinium lamarckii fruit|anti-d immunoglobulin|anti-pellagra vitamin|antimony cation (5+)|ampicillin anhydrous
uz||yunzhi|duck|urea|tuna|plum|yuanzhi|duzhong|riluzol|wuweizi|usnea
339||tm30339|x-396|mw33|hm-43239|azd-3839|s-3304|ace393|ns-398|td-139|qr-334
dry concentrated human blood coagulation factor viii||aav2/6-b-domain-deleted blood coagulation factor viii|human coagulation factor viii|recombinant coagulation factor xiii|human coagulation factor vii|human coagulation factor ii|bothrops atrox blood-coagulation factor x activator|human coagulation factor xi|human coagulation factor ix|blood coagulation factor xiv|recombinant human coagulation factor ix, fc fusion protein
uyaku||jiaokou|urate|butyrate|peanut|oubain|5-bacu|kyanol|uracil|auy922|azamun
2699991||gs-9191|jb991|xl999|ly-2623091|sb-269970|mdl-29951|fr236913|azd-5991|lgd2941|lx-2931
calf blood extract||bamboo extract|clove bud extract|aloe flower extract|aloe leaf extract|albumen extract|cat hair extract|cat skin extract|marigold extract|wormwood extract|hazel seed extract
jikina kakkonto oral solution||aprotinin concentrated solution|basic ferric sulfate solution|pinus contorta pollen|chinkapin oak pollen|ginseng root-neutral saponins|cipionato de oxabolona|ginger root oil cochin|pinus monticola pollen|formaldehyde solution|jinyinhua (lonicera confusa)
uunknowndrug||guanoclorum|fluocinonidum|quinagolidum|flunisolidum|amcinonidum|auranofinum|guanoxanum|ginsenoside rg1|sunflower oil|maranon fruit
264||ba-2664|cd564|kh064|r1204|ic261|2m4vp|mf268|mp4|p54|fr221647
anti-inflammatory agent||anti-pellagra vitamin|antineoplaston a 10|antineoplaston a10|antivenin,crotalidae polyvalent|viral macrophage-inflammatory protein|anti-d immunoglobulins|anti-d immunoglobulin|anti-inhibitor coagulant complex|antivenin,latrodectus mactans|antihemophilic factor, human
tokakujokito||goraka fruit|topaquinone|tolazoline|tolazolina|tolazolin|rocuronio|tomato|trovafloxacino|rostafuroxin|mitobronitol
utto lock||curly dock|luteolol|sour dock|curley dock|uteroglobin|yellow dock|utooth btc|carbon black|guanocloro|trestolone
2339224||amp-224|auy922|at3022|ag-24322|pl-3994|azd1222|amg-222|mln2222|s-3304|at2220
jibotentan||zibotentan|bosentan|isopentane|sitaxentan|macitentan|bosentán|cefotetan|tezosentan|bosentanum|pimobendan
utrogestan||ubrogepant|uproleselan|trilostano|trilostane|atrasentan|urogastrone|progesteron|nirogacestat|medrogestone|urethan
coronary vasodilator||ror gama modulator 1|rosemary volatile oil|condroitín sulfato|culinary sage oil|holy basil top|cardiodilatin|agrostis maeotica top|codergocrine mesilate|rosemary oil morocco|common horsetail top
jiyin jihoyu||ninjin whole|pyinma whole|anisindionum|resin tolu|yinxingye|lian qiao|jintiao|dipyrithionum|dithiane diol|tian qi root
anti-infectious disease drug||analogue of indinavir drug|managlinatum dialanetilum|cathartocarpus fistula fruit|triticum aestivum ripe fruit|xanthochrous rudis mycelium|bactyrilobium fistula fruit|alpha-dienestrol diacetate|anti-tetany substance 10|antivenin, latrodectus mactans, equine|antivenin,centruroides immune fab2
vitamin b complex||vitamin b12 complex|vitamin b12 coenzyme|vitamin b2 phosphate|vitamin b1 phosphate|vitamin c sodium|vitamin e acetate|vitamin bc|vitamin d nos|vitamin b12 nos|vitamin e quinone
uterine contraction inhibitor||protein c (coagulation inhibitor)|bovine pancreatic trypsin inhibitor|fibrinolysis inhibitor|hiv integrase inhibitor|human c1-esterase inhibitor|recombinant human c1-inhibitor|mercaptocarboxylate inhibitor|recombinant human c1 inhibitor|complement c1 esterase inhibitor|plasma protease c1 inhibitor
bifidobacterium combination drug||bifidobacterium longum infantis whole|bifidobacterium infantis whole|bifidobacterium longum infantis|bifidobacterium infantis|bifidobacterium lactentis whole|bifidobacterium longum bv. infantis whole|bifidobacterium longum subsp. infantis|bifidobacterium liberorum whole|bifidobacterium longum subsp. infantis whole|bifidobacterium breve
janus kinase inhibitor||hiv integrase inhibitor|atr kinase inhibitor azd6738|alpha1-proteinase inhibitor|alpha 1-proteinase inhibitor|naphthyridine inhibitor|human c1-esterase inhibitor|alpha-1-proteinase inhibitor|human c1 inhibitor|alpha-1 protease inhibitor|plasma protease c1 inhibitor
vit||vit-100|juvista|sylvite|ditpa|favid|cmvig|hivig|titan|bia|oat
ursode oxycholate||ursodeoxycholate|tauroursodeoxycholate|chenodeoxycholate|deoxycholate|ursodeoxycholic acid|taurochenodeoxycholate|ursodeoxycholyltaurine|norursodeoxycholic acid|no-ursodeoxycholic acid|acide ursodesoxycholique
seishin renko drink||sterculia urens resin|desoxynorephedrine|pseudonorephedrine|anisin indandione|psi-norephedrine|pepsin porcine|lepirudin recombinant|desirudin recombinant|serenoa repens fruit|methylnorethindrone
anti-il-2r antibody||masp-2 antibody|nvs antibody|anti-cd80 monoclonal antibody|anti-vegf monoclonal antibody|pentavalent antimony|anti-alpha5beta1-integrin antibody|chimeric anti-cd105 antibody|2c4 antibody|humanized smart anti-il-12 antibody|tartarized antimony
vertepolfin||verteporfin|verteporfina|verteporfinum|vertéporfine|lemuteporfin|temoporfin|rostaporfin|luteolin|verubulin|voreloxin
ivig||hivig|iviggm|cmvig|fig|vivagel|racivir|taci-ig|indio|favid|glizigen
junkoto||jintiao|quinoterol|aureotope|butonato|cinoxato|juvista|nikotin|ginkgo|juhong|unoprostone
urso tablets 50mg||arundo agrestis stem|equus caballus hair|equus caballus skin|bos taurus bile|uredo caries|ulobetasolum|arundo bambos stem|carbo vegetabilis|curacao aloe leaf|prostaglandin g2
vaseline||valine|varenicline|serine|casein|aniline|eserine|yajeine|yageine|adenine|acyline
urso||urson|parsol|ursadiol|cresol|ursodiol|urea|tucaresol|aurodox|cupreol|sucrose
anti-il-2 antibody||masp-2 antibody|nvs antibody|2c4 antibody|tartarized antimony|anti-cd80 monoclonal antibody|anti-vegf monoclonal antibody|humanized smart anti-il-12 antibody|chimeric anti-cd105 antibody|anti-il-20|pentavalent antimony
urinary system||urinary hcg|rhubarb stem|culinary sage oil|erwinia chrysanthemi|eastern oyster|prinomastatum|ephedra stem|arundarbor bambos stem|arundo agrestis stem|arundo arborea stem
itching and bye bye||biotin aldehyde|vitamin b12 coenzyme|ding xiang bud oil|nicotinic aldehyde|c.i. acid blue 90|betaine aldehyde|kitchen sage oil|nicotinic acid benzyl ester|vitamin a acid ethylamide|nitrocefin acyl-serine
eptakog alpha (active type) (genetical recombination)||agalsidase beta (genetical recombination)|somapacitan (genetical recombination)|agalsidase alfa (genetical recombination)|liraglutide (genetical recombination)|alteplase (genetical recombination)|lenograstim (genetical recombination)|galsulfase (genetical recombination)|aflibercept (genetical recombination)|antithrombin gamma (genetical recombination)|somatrem (genetical recombination)
unknown compound||dianin's compound|blackburn compound|kendall's compound b|kendall's compound e|kendall's compound f|monoctanoin component d|benzoin tincture, compound|novo nordisk a/s compound|pittsburgh compound b|wintersteiner's compound f
urination disorder improving agent||insulin lispro recombinant|coagulation factor ix (recombinant)|tn antigen saccharide component|insulin detemir recombinant|insulin lispro protamine|citidin difosfato de colina|coagulation factor viia (recombinant)|insulin lispro protamine recombinant|trietioduro de galamina|crotaline antivenin, polyvalent
itavastatin||pitavastatin|pitavastatine|pitavastatina|pitavastatia|pitavastatinum|pravastatin|simvastatin|pravastatine|atorvastatin|pravastatina
uncaria rhynchophylla||eugenia caryophyllata|bacteriochlorophyll a|bacterio-chlorophyll a|uncaria gambir leaf|turnera microphylla leaf|eugenia caryophyllata bud|salisburia macrophylla leaf|xanthophyll|eugenia caryophyllus bud|n-carbamoylphenylalanine
multivitamin for high-calorie infusion (6)||calendula flower olive oil infusion|antithrombin gamma (genetical recombination)|somapacitan (genetical recombination)|insulin lispro (genetical recombination)|psalliota bispora immature fruiting body|vitamin e nicotinic acid ester|coagulation factor viia (recombinant)|gold-silver flower (lonicera confusa)|infliximab (genetical recombination)|vitamin e acetate, unspecified form
urinary system (general medicine)||ephedra stem (ephedra sinica)|air, synthetic medicinal|lenograstim (genetical recombination)|laronidase (genetical recombination)|insulin lispro (genetical recombination)|chinese ephedra stem (ephedra sinica)|liraglutide (genetical recombination)|somatrem (genetical recombination)|sennae folium (senna alexandrina)|chinese jointfir stem (ephedra sinica)
anti-human thymocyte immunoglobulin||rabbit anti-human thymocyte immunoglobulin|anti-human thymocyte immunoglobulin, rabbit|antithymocyte immunoglobulin|rabbit anti-thymocyte immunoglobulin|rabbit anti-human thymocyte globulin|equine thymocyte immune globulin|antithymocyte immunoglobulin (rabbit)|lapine t-lymphocyte immune globulin|human normal immunoglobulin|anti-sars-cov-2 immunoglobulin
ugali (4-13)||uracil (2-13c)|uracil-(2-13c)|uracil c-13|uracil 2c-13|gold (au1+)|urea (13c)|gallium (ga3+)|gallium ion(3+)|urea, c-13|urea c-13
it's far more||isofagomine|isosfamide|ifosfamide|intrinsic factor|isosulfan blue|birch tar oil|anise camphor|insam whole|gitoformate|tesamorelin
anti-dizziness||manidipine|amantidine|aranidipine|barnidipine|cantharidine|antipyrine|cetirizine|ranitidine|glidiazine|methdilazine
other hormonal agents (including anti-hormonal agents)||pit viper (crotalinae) immune globulin antivenin (equine)|recombinant human follicle stimulating hormone beta|synthetic growth hormone release-inhibiting hormone|pit viper (crotalinae) immune antivenin (equine)|thrombomodulin (human 498-amino acid fragment)|recombinant human follicle-stimulating hormone (r-hfsh)|interferon beta-1a (recombinant human)|antihemophilic factor (recombinant) porcine sequence|oenothera biennis (evening primrose) oil|lymphocyte immune globulin, anti-thymocyte globulin
synthetic antibacterial agent (general drug)||synthetic conjugated estrogens, a|synthetic conjugated estrogens, b|synthetic preimplantation factor|recombinant bacterial ace2 receptors-like enzyme|antivenin (crotalidae) polyvalent (equine origin)|north american coral snake antivenin (equine)|hepatitis b surface antigen (recombinant)|hepatitis b surface antigen (rdna)|thermobacterium intestinale whole|angelicae dahuricae radix (angelica dahurica)
urinary and reproductive organs and anal medicine (general medicine)||inactivated sars-cov-2 vaccine (chinese academy of medical sciences)|north american coral snake antivenin (equine)|north american coral snake antivenin (micrurus fulvius) (equine)|recombinant soluble prostate-specific membrane antigen (rspsma) vaccine|black widow spider (latrodectus mactans) immune antivenin (equine)|scorpion (centruroides) immune fab2 antivenin (equine)|inactivated novel coronavirus (2019-cov) vaccine (vero cells)|mexican scorpion (centruroides) fab2 antivenin (equine)|taraxaci folium (taraxacum officinale weber ex wigg.)|dandelion leaf (taraxacum officinale weber ex wigg.)
isophane insulin||aspart insulin|porcine insulin|human insulin|isoprenalina|isoprenaline|isoprenalinum|isoprinosine|pheneticillin|b28-aspart-insulin|isopenicillin n
uri||uracil|urea|turnip|cumarin|daturin|suramin|lisurid|uridine|uridina|taurine
heated person plasma protein||human plasma protein|human plasma proteins|red paper wasp venom protein|white faced hornet venom protein|yellow hornet venom protein|german wasp venom protein|northern paper wasp venom protein|metricus paper wasp venom protein|vespula germanica venom protein|polistes metricus venom protein
sulfadimethoxone||sulfadimethoxine|sulfadimethoxinum|sulphadimethoxine|sulfadimetoxina|sulfadimethyloxazole|sulfadimethoxydiazine|sulfamethoxazole|sulfadimethylisoxazole|sulfamethizole|sulfamethazine
anti-dementia drug||angiotensinamidum|artemetherum|canis domesticus hair|n-tridecanoic acid|acidum etidronicum|kua domestica root|antitrombina iii|acide retinoique|acide medronique|undecenoic acid
ura||urea|urate|endura|okra|uracil|tuna|uretano|urethan|uridina|turnera
isomitar||isoxicam|sorbitan|isoxicamo|ilomastat|sisomicin|isoetarina|osocimab|isoniazid|cilomilast|diosmina
vitamins (2-6)||vitamin d2|vitamin b2|vitamin k2|vitamin b6|vitamin l2|vitamina d2|vitamin d-3|vitamin b12|vitamin b-12b|vitamin k
ssri||serina|serine|shrimp|sasapyrin|östriol|serinum|estriol|samario|sericin|aspirin
upa||tuna|udpgal|pea|urea|cpad|n-dpa|rt-pa|2-pam|dapta|ditpa
drug of unknown details||douglas fir pollen extract|dwarf pine needle oil|pregnenolone acetate|mugo pine leaf oil|fruit of silybum marianum|flurandrenolone acetate|bur oak pollen extract|common ginkgo leaf oil|androstanolone acetate|fluocinolon acetonid
sodium gualenate hydrate||sodium acetate anhydrous|sodium sulfate anhydrous|sodium sulphate anhydrous|magnesium aluminate hydrate|sodium acetate, anhydrous|sodium sulfate, anhydrous|sodium carbonate anhydrous|sodium sulphate, anhydrous|sodium acetate,anhydrous|sodium carbonate, anhydrous
unspedified antiplatelet drugs||magnesium salicylate anhydrous|buprenorphine adipate ester|sodium acetate anhydrous|digoxin-specific antibody fragments|esterified estrogens|sodium aurothiosulfate anhydrous|cod, unspecified preparation|anacardium occidentale fruit|magnesium lactate anhydrous|sodium carbonate anhydrous
anti-cd20 monoclonal antibody||anti-cd80 monoclonal antibody|anti-vegf monoclonal antibody|anti-gd2 monoclonal antibody 3f8|anti-cd47 monoclonal antibody hu5f9-g4|cc49 monoclonal antibody|anti-fgfr2 monoclonal antibody fpa144|anti-tim-3 monoclonal antibody mbg453|anti-vegf humanized monoclonal antibody|anti-csf1r monoclonal antibody sndx-6352|anti-clever-1 monoclonal antibody fp-1305
iskra fire moisture granules||extramel microgranules|rabies immune globulin|isosorbide mononitrate|esterified estrogens|australian fever tree leaf|tissue culture urokinase|cassia fistuloides fruit|isosorbide 5-mononitrate|sage oil france|tea tree oil australia
shichimotsukoka||hidrocortisona|trichlorosucrose|desoximetasona|hidromorfona|succinobucol|simeticona|hicantona|s-ethylisothiourea|starch, tapioca|sanchinoside c1
unspecified non-steroidal anti-inflammatory agent||viral macrophage-inflammatory protein|human-derived botulism antitoxin antibodies|viral macrophage inflammatory protein-ii|granulocyte colony-stimulating factor lenograstim|digoxin-specific antibody fragments|humanized monoclonal antibody hu3f8-igg1|recombinant coagulation factor xiii|varicella zoster live (attenuated) antigen|multiplication-stimulating activity iii-2|ferumoxytol non-stoichiometric magnetite
other antibiotic preparations (including complex antibiotic preparations)||coral snake (micrurus fulvius) immune globulin antivenin (equine)|north american coral snake (micrurus fulvius) antivenin (equine)|complement c5 inhibitory humanized recycling monoclonal antibody (rg-6107 )|activated prothrombin complex concentrate|antihemophilic factor (recombinant, fc fusion protein)|pit viper (crotalinae) immune globulin antivenin (equine)|agonistic anti-ox40 monoclonal antibody medi6469|coral snake (micrurus fulvius) immune antivenin (equine)|black widow spider (latrodectus mactans) immune antivenin (equine)|heat shock protein-peptide complex-96 vaccine
iscotin (nos)||iscotrizinol|insulin (pork)|secretin (pig)|sodium (ion)|secretin (human)|vitamin d nos|zinc, ion (zn2+)|isotretinoin|isotretinoino|secretin (swine)
sermoleukin (genetical recombination)||liraglutide (genetical recombination)|burosumab (genetical recombination)|somapacitan (genetical recombination)|somatrem (genetical recombination)|laronidase (genetical recombination)|lenograstim (genetical recombination)|ocrelizumab (genetical recombination)|alteplase (genetical recombination)|galsulfase (genetical recombination)|adalimumab (genetical recombination)
anti-cancer drug (drug name unknown)||arnica flower (arnica montana)|armeniacae semen amarum (prunus armeniaca)|anti-cd166 probody-drug conjugate cx-2009|arnicae flos (arnica montana l.)|anti-thymocyte globulin (equine)|anti-coronavirus immunoglobulin|north american coral snake antivenin|antivenin,centruroides immune fab2|anti-d (rh) immunoglobulin (human)|alnus incana subsp. rugosa pollen
seirogan||seliforant|etiron|iotrolan|eritoran|nitrogen|sarizotan|ifetroban|repinotan|metirosin|stepronin
unspecified gastrointestinal agent||esterified estrogens|porcine vasoactive intestinal octacosapeptide|digoxin-specific antibody fragments|cod, unspecified preparation|thermobacterium intestinale whole|insulin glargine (rdna origin)|insulin glargine recombinant|kassiya ostrolistnaya leaf|tuberculin,purified protein derivative|tuberculin purified protein derivative
iro||iron|hierro|tiramo|etiron|ir208|imrcs|indio|ir502|chrom|fixol
combined gastrointestinal preparation (general medicine)||porcine vasoactive intestinal octacosapeptide|vasoactive intestinal octacosapeptide (swine)|choline, dihydrogen phosphate (ester) (8ci)|scorpion (centruroides) immune fab2 antivenin (equine)|recombinant bacterial ace2 receptors-like enzyme|covid-19 synthetic minigene vaccine|recombinant human thyroid stimulating hormone|centruroides (scorpion) immune fab2 (equine)|vasoactive intestinal octacosapeptide (pig)|recombinant soluble prostate-specific membrane antigen (rspsma) vaccine
unspecified||cod, unspecified|tuna, unspecified|snail, unspecified|yeast, unspecified|quahog, unspecified|shrimp, unspecified|oyster, unspecified|salmon, unspecified|caviar, unspecified|lobster, unspecified
river kyucha dispersal||river birch pollen extract|silver sulphadiazine|verdiperstat|r-carnitinyl-coa inner salt|silver sulfadiazinate|silver birch pollen|magnesium diasporal|silver sulfadiazine|silver nanoparticles|refined soy sterol
anti-cancer drug||african cucumber fruit|anti-cripto-dm4|anti-sars-cov-2 igy|etelcalcetidum|aniracetamun|antigene w|anti-cd11a|anti-cd40l|anti-cd3|anthoxanthum odoratum
ipv (vero)||ioversol|fish liver oil|pipamperona|pipamperone|dipivefrin|soy sterol|zilpaterol|biperideno|piboserod|aplaviroc
ampiroxicam||piroxicam|piroxicamum|droxicam|isoxicam|méloxicam|pyroxycam|meloxicam|amprolium|isoxicamo|lornoxicam
unowndrug||guanoclorum|urokinasum|guanoxanum|brown rice|pumosetrag|butonatum|rutosidum|oleandrin|inosinum|flounder
ritsu effect||titanium element|rat skin extract|tritici fructus|pegsunercept|risuteganib|asunercept|immufact|crataegus extract|pyrethrum extract|ginseng extract
unnkown drug||rainbow trout|sunflower seed|maranon fruit|urokonic acid|guanoclorum|brown rice|kiwi fruit|musa nana fruit|noretynodrelum|benzoin resin
sirazapril hydrate||cilazapril anhydrous|iron azide hydrate|cilazaprilate|silica hydrate|terpin hydrate|terpinol hydrate|cis-terpin hydrate|citronellal hydrate|chloral hydrate|silica, hydrated
iperiden||biperiden|biperideno|biperidene|biperidenum|piperine|fipexide|diperodón|spermidin|diperodon|piperidione
proton pump inhibitors||human c1 inhibitor|kras g12c inhibitor 9|protein c (coagulation inhibitor)|naphthyridine inhibitor|dynamin inhibitor i|plasma protease c1 inhibitor|recombinant human c1-inhibitor|fibrinolysis inhibitor|alpha1-proteinase inhibitor|recombinant human c1 inhibitor
unkwondrug||fluocinonidum|bunamiodylum|nicorandilum|quinagolidum|flunisolidum|guanoclorum|sunitinibum|amcinonidum|lucanthonum|nandrolonum
denopamine||dopamine|desipramine|phenpropamine|dopamina|ibopamine|nopoxamine|octopamine|dopexamine|idanpramine|phentolamine
pre||rye|pea|pork|urea|cupreol|asparec|inspire|parsley|proline|capture
anthraquinone-containing laxative||hydroquinone monobenzyl ether|antimony potassium tartrate|hydroquinone-o-beta-d-glucopyranoside|coproporphyrin i containing co(iii)|fish oil containing omega-3 acids|protoporphyrin ix containing zn|protoporphyrin ix containing co|atrazine glutathione conjugate|trans-p-coumarinic acid|hydroquinone o-β-d-glucopyranoside
iomeron||iomeprol|imexon|thiomedon|dimebon|moperone|coumaron|ioversol|ritobegron|mibolerona|iomeprolum
unknowudrug||guanoclorum|rainbow trout|quinagolidum|flunisolidum|flufenoxuron|iminourea|,no-udca|ginsenoside rg1|enadenotucirev|no-udca
polaplez inc||polaprezinc|olsalazine|bola resin|proquamezine|oxaprozin|belapectin|folate-fitc|poloxalene|poligelina|oxaprozine
liver disease agent||biliverdine ix alpha|verdiperstat|nitrate d'argent|fluprednidene acetate|silver sulfadiazinate|silver wattle pollen|meprednisone acetate|silver sulfadiazine|silver birch pollen|vestronidase alfa
unknownerug||sunflower oil|guanoclorum|menthone g|quinoterol|sunflower seed|rainbow trout|tungstopterin|nelotanserin|gantenerumab|aminopterin
anthraquinone||antroquinonol|topaquinone|l-topaquinone|phanquinone|centhaquine|menaquinone|vatiquinone|topa quinone|hydroquinone|gastroquinolone
iodized oil||ethiodized oil|olive oil|cod liver oil|cod-liver oil|iodide ion|linseed oil|aniseed oil|anise oil|iodixanol|iomazenil
unknowndrugs||guanoclorum|sennosides|ouabain anhydrous|ginsenoside rg1|sunflower seed|maranon fruit|rainbow trout|sunflower oil|fluocinonidum|quinagolidum
piperidinoacetylamino ethyl benzoate combination||β-(diethylamino)ethyl 4-aminobenzoate|β-(diethylamino)ethyl p-aminobenzoate|2-diethylaminoethyl p-aminobenzoate|β-piperidinoethyl 3-methylflavone-8-carboxylate|2-piperidinoethyl 3-methylflavone-8-carboxylate|(p-iodophenylacetylamino)methylphosphinic acid|p-amino-n-(2-diethylaminoethyl)benzamide|β-dimethylaminoethyl benzhydryl ether|n-bromoacetyl-aminoethyl phosphate|2-(dimethylamino)ethyl 4-(butylamino)benzoate
dry ion exchange resin treated human immunoglobulin||rabbit anti-human thymocyte immunoglobulin|human clostridium tetani immune globulin|human clostridium tetani toxoid immune globulin|rabbit anti-thymocyte immunoglobulin|human herpesvirus 3 immune globulin|human hepatitis b immunoglobulin|human normal immunoglobulin|human botulinum neurotoxin a/b immune globulin|human vaccinia virus immune globulin|human rabies virus immune globulin
antebate ointment||acetate of lime|nitrate d'argent|tartrated antimony|activated protein c|acetate anion|acetate ion|antrafenine|alteplase, recombinant|patent blue violet|angiotensinamide
unknowndrug (steroid)||urea hydrogen peroxide|knowing mother root|sunflower seed oil|sunflower seed|19-norandrostenolone|hydroxyprogesteronum|dehydroandrosterone|hidroxiprogesterona|dihydroandrosterone|hydroxyprogesterone
penicillin antibiotics||penicillium camemberti|ampicillin anhydrous|penicillium italicum|penicillin g procaine|penicillin g acyl-serine|penicillin phenoxymethyl|penicillin b|penicillium digitatum|ampicillin, anhydrous|penicillium roqueforti
lupatazine fumarate||fluticasone furoate|zinc ethyl fumarate|protamine sulfate|dimethyl fumarate|mometasone furoate|diroximel fumarate|glutathione sulfinate|iron(2+) fumarate|diloxanide furoate|monomethyl fumarate
unknowndruag||gantenerumab|ginkgolide a|ginkgolide-a|guanoclorum|pumosetrag|isunakinra|rengong niuhuang|anakinra|ginsenoside rg1|ginsenoside a2
antacids||amino acids|azintamid|azintamida|azintamide|cannabis|anti-cd3|acetamide|alsactide|cantharidin|kantharidin
intravenous hyperalimentative solution||aprotinin concentrated solution|equisetum arvense vegetative shoot|basic ferric sulfate solution|equisetum arvense vegetative top|calendula flower olive oil infusion|indigenous peanut oil|platanus occidentalis pollen|tetrafluoroaluminate anion|filamentous haemagglutinin|amaranthus palmeri pollen
pancreatic hormones||pancreatic dornase|pancreatic protease|parathormone|pancreatic lipase|parathyroid hormone|pancreatic polypeptide|luteotropic hormone|human growth hormone|tsh-releasing hormone|atrial natriuretic hormone
tartilelin hydrate||terpinene hydrate|terpin hydrate|terpinol hydrate|terpin monohydrate|cis-terpin hydrate|silica hydrate|citronellal hydrate|tributyltin hydride|silica, hydrated|monalium hydrate
unknowndrrug||rainbow trout|nicorandilum|guanoclorum|ginsenoside rg1|noretynodrelum|sunflower oil|maranon fruit|fluocinonidum|phenindionum|bunamiodylum
keishito kabukiyu||ferrimannitol ovalbumin|meshimakobu mycelium|niacin aluminum|emtricitabinum|white caustic|cisatracurium|ethionamidum|mericitabine|gemcitabinum|fiacitabinum
anovlar||acoalan|anti-vla4|guanoclor|endostar|nanosilver|caviar|atopaxar|adynovate|afoxolaner|vanilla
seihaito||sehcat|seocalcitol|semapimod|nequinato|etinamato|senicapoc|sencha tea|selenio|secobarbitone|cefpiramido
other peripheral nervous system drugs (general drugs)||chinese ephedra stem (ephedra sinica)|chinese ephedra root (ephedra sinica)|autologous peripheral blood-derived cd34+ cells|north american coral snake antivenin (equine)|north american coral snake antivenin (micrurus fulvius) (equine)|epimedium herb (epimedium grandiflorum)|ocean perch (sebastes alutus)|north american coral snake (micrurus fulvius) antivenin (equine)|tetrahedral intermediate of blasticidin s|yellow fever virus strain 17d (live, attenuated)
unknown p.r.n. medication [ingredient unkown]||peppermint american far west bulked|antimony (v) derivative of sodium gluconate|ceftobiprole medocaril free acid|peppermint american willamette natural|north american coral snake antivenin|polyvalent mexican scorpion antivenin (horse)|interleukin-1 receptor antagonist anakinra|protein c (coagulation inhibitor)|flavin-n7 protonated-adenine dinucleotide|insulin lispro (genetical recombination)
intraocular pressure lowering drug||echinacea purpurea flowering top|brauneria purpurea flowering top|rudbeckia purpurea flowering top|magnolia praecocossima flowering top|portulaca oleracea flowering top|absinthium bipedale flowering top|absinthium vulgare flowering top|magnolia borealis flowering top|chinese scholar tree flower bud|artemisia pendula flowering top
pancol||pantol|parsol|patrol|pantenol|bepantol|epanolol|etanol|ancrod|kyanol|deanol
other hypnotic sedatives||oenothera pycnocarpa seed oil|oenothera biennis seed oil|copper disodium edetate|methyl hygrate betaine|tetrahydrolipstatin|oenothera biennis seed extract|atrial natriuretic peptides|triheptanoic glyceride|thenophenopiperidine|terpinol hydrate
unknown medicinal effect||medicinal carbon|medicinal charcoal|rosmarinus officinalis extract|calendula officinalis extract|air, medicinal|senega officinalis root|thunnus catalinae flesh|corylus americana seed|rosmarinus officinalis leaf extract|n-nonanedioic acid
anabolic steroids||arsenic trioxide|carbolic acid|diarsenic trioxide|dammarolic acid|aureolic acid|anchoic acid|vabicaserin|bolasterone|albendazole sulfoxide|albendazole s-oxide
angiolancin ii receptor antagonist||interleukin-1 receptor antagonist anakinra|angiotensin ii (1-7) heptapeptide|antithrombin iii, recombinant|antivenin (latrodectus mactans)|antivenin, latrodectus mactans|antithrombin iii,recombinant|antivenin,latrodectus mactans|agkistrodon piscivorus antivenin|angiotensin ii (human)|antihemophilic factor recombinant
intralipos||anthralin|inecalcitol|pancrealipase|pancrelipase|integrelin|estradiol|iguratimod|pilaralisib|narasino|intrifiban
other dispensing medicines||oenothera biennis seed oil|air, synthetic medicinal|copper disodium edetate|tsh-releasing hormone|thenophenopiperidine|espectinomicina|northern bluefin tuna flesh|crotalid antivenin (equine)|peg-adenosine deaminase|endothelin (porcine)
unknown drugs||maranon fruit|rainbow trout|ninjin root|kiwi fruit|brown rice|lanolin, anhydrous|ouabain anhydrous|ingenoli mebutas|musa nana fruit|milk,nonfat dry
