dialinate||alginate|dinaline|dialyvite|driminate|sinapinate|dinate|dialyte|folinate|dibunate|hylinate
those that mainly act on gram-positive and gram-negative bacteria||healthy hands aloe instant hand antibacterial|ocean mist scented hand sanitizer anti-bacterial|triclosan free antibacterial 7.5 oz (ocean) antibacterial|peach sensation scented hand sanitizer anti-bacterial|april bath and shower cucumber melon scented hand sanitizer anti-bacterial|cvs foaming hand sanitizer antibacterial|april bath and shower warm vanilla scented hand sanitizer anti-bacterial|swiss hand guard antiseptic handwash antibacterial|triclosan free antibacterial 7.5 oz original antibacterial|triclosan free antibacterial 7.5 oz (strawberry pomegranate) antibacterial
α-glucosidase inhibitor||hiv integrase inhibitor|human c1-esterase inhibitor|alpha1-proteinase inhibitor|alpha-1-proteinase inhibitor|fibrinolysis inhibitor|naphthyridine inhibitor|alpha-1 protease inhibitor|alpha 1-proteinase inhibitor|aglucosidase alpha|aglucosidase alfa
amogastrin||monapterin|urogastrone|pentagastrin|motrin|avastin|aromasin|amoxapin|aygestin|folastin|monastrol
prosultiamine||fursultiamine|fursultiamina|protamine|pro-quetiapine|prostigmin|procalamine|sulbutiamine|pyrrobutamine|fursultiaminum|prazolamine
etooxyethyl methacrylic resin compounding agent||dipentocaine topical cream compounding kit|equipto - baclofen external cream compounding kit|equipto - naproxen external cream compounding kit|equipto - amitriptyline external cream compounding kit|methoxy polyethylene glycol-epoetin beta|maxclinic miraclinic contour ing object|n-methylmesoporphyrin containing copper|formoterol fumarate related compound g|hydroxyethyl starch in sodium chloride|c t acetylsalicylic acid codeine and caf tab
α-ethylaminopentiophenon||2-(diethylamino)propiophenone|alpha-diethylaminopropiophenone|4-dimethylaminophenol|dimethylaminoazophene|dimethylaminophenazon|dimethylaminophenazone|5-methyl-2-pentylphenol|alpha-aminopropiophenone|4-dimethylaminophenazone|p-acetylaminophenol
aminosalicylate calc||4-aminosalicylate|aminosalicylic acid|5-aminosalicylic acid|p-aminosalicylic acid|4-aminosalicylic acid|m-aminosalicylic acid|p-aminosalicylsaeure|thiosalicylate|trolamine salicylate|phenyl aminosalicylate
α blocker||scent blocker|sun block|sublocade|biokera|sunblock|blackberry|hurt blocker pro|dr bronners|red clover|leimzucker
stomach digestive agent||stomach aid-digestive aid|rite aid digestive relief|soma disordergen|stomach relief ultra|stomach relief cherry|kroger digestive relief|stomach relief original|stomach relief chewables|stomach relief childrens|herbal digestive capsules
α agonist||algenist|vasovist|calomist|magnevist|goniosoft|dawnmist|ed a-hist|laronidasa|laronidase|d-adonitol
afloqualone||proquazone|alfaxalone|methaqualone|carboquone|méfloquine|mefloquine|nicoumalone|diflorasone|tritoqualine|flavone
dye preparation (general drug)||preparation h rapid relief|preparation h-pe gel|pure transformation sheer medium|dye free pain reliever childrens|pure transformation sheer dark|preparation h cooling gel|preparation h for women|dye free pain and fever childrens|preparation h maximum strength|preparation h medicated wipes
zokumeiyu||zomepiracum|dosulepinum|tolmetinum|azosemidum|zomepirac|vumerity|columbio|volumen|oramedy|volumex
methaniazide||methiamide|methenamide|ethioniamide|methdilazine|methazolamide|methanoic acid|metiamide|mebanazine|ethinamide|ethacizine
vitamins (2-5)||vitamin d2|vitamin l2|vitamin b2|vitamin k2|vitamin b5|vitamin d-3|vitamina d2|vitamin b-2|vitamins a d|vitamin b12
vasodilator||vasodilan|zaditor|vasovist|valspodar|voxelotor|voxélotor|benorilato|almasilato|vasodyn tab|cardiodilatin
metgluco||euglucon|meglutol|etoglucid|metaglip|metolazon|melaleuca|levoglucose|methyl glycol|meglumine|methyltocols
ziziphus jujuba var. inermis fruit||capsicum annuum var. minus fruit|capsicum annuum var. minimum fruit|capsicum annuum var. aviculare fruit|capsicum annuum var. glabriusculum fruit|schisandra chinensis fruit|maximowiczia chinensis fruit|schizandra chinensis fruit|citrus x paradisi fruit|kadsura chinensis fruit|musa chinensis fruit
dried recombinant herpes zoster vaccine (derived from chinese hamster ovary cells)||recombinant human antigen-specific polyclonal antibody (pab) against rhd antigen expressed in chinese hamster ovary cells|recombinant novel coronavirus vaccine (adenovirus type 5 vector)|ge: recombinant varicella zoster virus (vzv) glycoprotein e|ge recombinant varicella zoster virus (vzv) glycoprotein e|recombinant platelet-derived growth factor bb|inactivated sars-cov-2 vaccine (chinese academy of medical sciences)|recombinant varicella zoster virus (vzv) glycoprotein e|dna (recombinant vaccinia virus strain livp clone gl-onc1)|human umbilical cord wharton’s jelly-derived mesenchymal stem cells|allogenic pooled olfactory mucosa-derived mesenchymal stem cells
shazensou extract||hazel seed extract|ginseng extract|chamomile extract|barley smut extract|hazelnut pollen extract|mate extract|honey extract|bamboo extract|cashew extract|albumen extract
zeprion||mepron|xeplion|eperison|budeprion|zemuron|deriton|heparin|apprilon|epérisone|eperisona
metal preparation||oats preparation|cold preparation|lamb preparation|honey preparation|caviar preparation|salmon preparation|serenoa preparation|skin preparation|rhubarb preparation|eleuthero preparation
amino acids (including formulations with polypeptides)||obrilo hand sanitizer formulated with aloe|gaviscon acid relief formula tablets|denblan whitening formula anti cavity fluoride|glucose-dependent insulinotropic polypeptide|aminosyn 8.5% injection with electrolytes|heparin sodium injection usp (multidose vial-with preservative)|skin caviar concealer foundation spf 15 - porcelaine blush|vitamin &amp; mineral formula 1 dietary supplement|rite aid instant hand sanitizer with moisturizers|atp hand sanitizer moisturizing formula with aloe
zentacort||entocort|bencort|westcort|texacort|nasacort|novacort|natafort|azmacort|retacrit|theracort
amino 9||vamin n|aminorex|aminosyn|amrinone|amrinona|cambinol|zamine 21|zamine 28|aminophen|amrinonum
metabarrier||metadate er|barriere|heptabarbe|i.c. barrier|moisture barrier|dawnmist barrier|methaver|metadate|metarene|metaxalone
zd6474 (or placebo)||visine workplace|pork placenta|sus scrofa placenta|wild portulaca top|zeroq face body|done 70 isopropyl alcohol|cure-aid corn plasters|16oz isopropyl alcohol|zemdri (plazomicin)|doc q lace
meta||zometa|mentax|zetia|tecta|penta|mesna|metonia|mepatar|metadol|metrate
amg706 tablets or placebo||a.s.a. tablets 5gr bp|maalox tablets cherry flavour|maalox tablets mint flavour|rafton tablets - fruit flavour|grain timeless gold placenta|ansaid tablets 50 mg|maalox plus tablets lemon flavour|allergy tablets extra strength|vitamin c tablets usp 500mg|ovol tablets 40mg chewable
yunnan takasei||senna tabs|yenaan jinaek|crisantaspase|vonapanitase|hanbang cataplasma|foundation caramel|yenaan jinaek eye|nozinan tab 2mg|hycodan tablets|sunmark tussin
ame162||ave-1625|ame-527|aim-102|amg 102|ameluz|acet 2|acet 160|amerge|al7182|ab192
met||qmelt|smelt|acmet|chemet|meodmt|myocet|adomet|menest|mepact|metvix
diagnostic allergen extract||cat dander diagnostic allergen extract|licorice allergenic extract|casein allergenic extract|tragacanth allergenic extract|oyster allergenic extract|lobster allergenic extract|oat smut allergenic extract|corn smut allergenic extract|tapioca starch allergenic extract|salmon allergenic extract
yunker||sunkure|ginger|kupfer|yupelri|sunclear|inked|tykerb|synera|sunvepra|turkey
d preparations) (general medicine)||preparation h medicated wipes|preparation h hydrocortisone|preparation h rapid relief|rite aid renewal medicated|preparation h for women|preparation h totables pain relief|welly childrens travel medicine|dermarest eczema medicated|preparation h cooling gel|restoration serum epione
cs-1008||ps-1000|ac-100|gc1008|ci-1040|tas-108|cts-1027|tst10088|iss-1018|ncx-1000|cap-1002
ambiguous medication nos||sinus medication|acne medication 5|acne medication 10|mouth sore medication|allergy sinus medication|asepxia acne medication wipes|cold medication|serious action skin medication no. 5|bio-g-tuss pediatric drops|alivio medicated pain
ys1402||as1409|ly2140023|tb-402|tas-102|pbi-1402|hs100|lsz-102|pac-14028|ly-294002|cts-1027
mepirapim||mepirzapine|mepiramina|espirapril|zomepiracum|spirapril|mepirizol|nevirapine|metirapona|mepyramine|mepiprazol
quercus salicina extract||curcuma longa extract|raphanus sativa extract|curcuma domestica extract|acorus calamus extract|swertia japonica extract|curvularia extract|sambucus nigra extract|citrus bergamia extract|house mouse skin extract|rosmarinus officinalis extract
am powder||amber powder|alum powdered|air power|milk powder|pearl powder|oatmeal powder|iron powder|gold powder|mycil powder|cocoa powder
mentha spp. oil||mentha crispa oil|mentha piperita oil|mentha x piperita oil|mentho patch cool|mentha dumetorum oil|oenothera oil|mentha lapponica top|omega-3 fish oil|betula alba oil|methisoprinol
yokuinin extract tablets||valerian extract tablets|bilberry extract tablets|multimineral tablets|decongestant tablets|gelusil extra strength tablets|a.f.anacin extra strength tablets|sincera - tablets|ropinirole tablets|organic minerals tablet|aspirin chewable tablets
corticosteroids||corticosterone|corticotropin|corticotrophin|corticorelin|desoxycorticosterone|noretisterona|cortisporin|norethisteron|norethisterone|act finasteride
bushi||bisbid|basil|tussin|yunzhi|buspar|bustab|kushen|buphenin|buspiron|lusair
menta oil||minral oil|mentol|menthol|metadol|metasol|bentalol|fentanil|peanut oil|betula oil|mineral oil
coptis chinensis||nardostachys chinensis|buxus chinensis oil|atractylis chinensis root|thea sinensis|buxus chinensis seed|simmondsia chinensis oil|cough childrens|acarna chinensis root|botrytis cinerea|soothe childrens
yh1-1001||ore-1001|chf-6001|xmt-1001|ino-1001|etc-1001|cyp-001|amy-101|cynk-001|adx-10061|ppl-100
x-ray contrast agent||ultra control mint|spray solaire transparent|oxy clean pore astringent|ultra control strawberry|visine contact lens|ultra control melon|country gent|ddf acne control treatment|transcon first amenity kit|vivascon extra strength
xena pax||zenapax|senna lax|zema pak|xerac ac|lenza pro|pentaspan|xenaflamm|senna-lax|xevinapant|zelapar
xel||elm|veal|exelon|xeloda|lexxel|baxdela|xelpros|xermelo|oxantel|xarelto
nipragilol||tipiracilo|ipramol|pipracil|pipradrol|bupranolol|fepradinol|feniramidol|metipranolol|optipranolol|ipragliflozin
mek162||mk-6325|mk-7622|mk-1064|ave-1625|mk-212|memp1972a|msx-122|gma-161|mk-6186|mk-0812
comprehensive amino acid preparation for high-calorie infusion (5-1)||aveeno calamine and pramoxine hydrochloride anti itch|complete multivitamins and minerals for children|cold preparation for cough and sinus relief|5% travasol amino acid injection with electrolytes in 20% dextrose|2.5% travasol amino acid injection with electrolytes in 10% dextrose|rimmel london match perfection foundation - true ivory (130)|rimmel london match perfection foundation - true nude (320)|walgreens advanced hand sanitizer with aloe and vitamin e|luxiva preventage hand treatment for normal skin spf 15|4.25% travasol amino acid injection with electrolytes in 25% dextrose
wti vaccine||ruti® vaccine|bcg vaccine|typhoid vaccine|vivacaine|gx-19 vaccine|anthrax vaccine|pertussis vaccine|rotavirus vaccine|tiracizine|mepivacaine
sobzoxan||idazoxan|tobrexan|robalzotan|soybean|sorbitan|suboxone|idazoxano|sarizotan|chlorzoxane|soblidotin
cnto 148||cta018|auto 157|muro 128|act-541468|cp-271485|panto flu|acet 120|panto iv|acet 160|col-118
wound protectant||skin protectant|r2 skin protectant|woa protect|hand protector|arc skin protectant|dermacen protectant|ilex skin protectant|dimethicone protectant|sol protect|wound repair
chisokinase||urokinase|nattokinase|streptokinase|cistina|choline|chinine|tolinase|cisteina|chlorine|condoliase
women's treasure glue||womens relief balm|biomin restore plus|women's support tablets|women's laxative tablets|menstrual relief|women's change formula|women secret care|women's formula|women's rogaine foam 5%|women's - stk 23%
ringer's fluid||ringer's inj|fading fluid|isopar h fluid|diorskin fluide|vitalizer fluid|aqua rush fluid|wrigley's alpine|bilberry fruit|ryneze liquid|daytime fluid
medipain||medi-pak|mericaine|reviparin|medi-pads|mediplast|bemiparin|mdipa|pedipak|medpanol|antipain
cefzonum sodium||cefazolin sodium|cefuroxime sodium|seconal sodium|ceftriaxone sodium|cromolyn sodium|ertapenem sodium|heparin sodium|edecrin sodium|naproxen sodium|nembutal sodium
women's health medicine mother of life a||cvs health healing on the go kit|cvs health medicated lip care|cvs health lidocaine pain relief|cvs health medicated chest rub|nite time cold medicine cherry flavor|ammens medicated powder original|cough medicine soothing relief|omnis health alcohol prep pads|neutrogena healthy defense moisturizer spf 50|ammens medicated powder shower fresh
pepromycin sulphate||capreomycin sulfate|neomycin sulfate|paromomycin sulfate|streptomycin sulfate|ferrous glycine sulphate|dermatan sulphate|tobramycin sulfate|ephedrine sulphate|dextrin sulphate|curcumin sulphate
carbohydrates nos||carbonate ion|carboplatino|carbonate of potash|carbamohydroxamic acid|codehydrase i|carboxyatractyloside|codehydrase ii|carya tetraptera nut|aclaro hydroquinone|carbidopa anhydrous
medicinal yomeishu||medicinal carbon|medicinal charcoal|medical super|medical oxygen|medically minded|medical air compressed|medical air|medical cannabis|medical oxygen compressed|medicated pumice wash
whole body radiation||whole bean cacao|whole body organic sunscreen|cold medication|honey preparation|waterbright radiating|luxe traditions|cold preparation|rrub body sanitizing|mouth sore medication|whole grain oat
white tiger kaninjinto||white flower ointment|white truffle anti wrinkle|white hand sanitizer|white mineral oil|white citrus hand sanitizer|shoprite triple antibiotic|tidy tiger hand sanitizer|white tea antibacterial|white truffle whitening|whitening repairing bb
medical food||pecan food|medical air|medipap cool|medical super|medicated body|medical oxygen|rice food|medicated|medicated oil|medicated pad
button||cotton|butrans|bucetin|butonate|butonato|nabumeton|biotin|butethal|arbutin|boron
white shingo pin||white ash pollen|swift sinus pain|whitening foaming|white pine pollen|white hickory pollen|white hickory|white birch oil|phytosphingosine|white oak pollen|white mineral oil
alkaloid preparation||salmon preparation|skin preparation|cold preparation|lamb preparation|caviar preparation|oats preparation|serenoa preparation|blue crab preparation|eleuthero preparation|damiana leaf preparation
budraradin||puerarin|uramaxin|furazidin|hydralazin|bedoradrine|fludarabina|murepavadin|fludarabine|argadin|guardian
medi473||medi-10|medi-6469|m-ediat|mediflex|medline|medimaxx|medi0680|mediplus|medinumb|meridia
mea||pea|β-mea|mesna|mepact|makena|mezera|urea|veal|bean|mentax
inactivated polio vaccine (soak vaccine)||inactivated poliomyelitis vaccine (d.c.o.) type 2 mef1|inactivated poliomyelitis vaccine (v.c.o.) type 1 mahoney|inactivated sars-cov-2 vaccine|inactivated poliomyelitis vaccine (v.c.o.) type 3 saukett|inactivated poliovirus type i|inactivated poliovirus type ii|inactivated poliovirus type iii|inactivated novel coronavirus (2019-cov) vaccine (vero cells)|pinnaclife olivamine 10 skin cleanser|pinnaclife olivamine 10 skin shield
white bud root||white alder|white birch|white mertodol|white birch oil|bitter root|white potato|white mustard|tribulus root|goathead root|white mulberry
blood products (general drugs)||food grade mineral oil|mybody protect and serve spf-30|aloe soothing renewal mask|oil of olay protective renewal lotion|ultra uv protective mineral defence|acid reducer original strength|citri fructus (citrus junos)|broad spectrum spf 50 mineral sunscreen|broad spectrum spf 30 mineral sunscreen|clorox careconcepts perineal cleansing
me3738||mw33|pm02734|mk-3118|ns-3728|mk-2748|mk-0731|aee-788|mk-0736|mbo7133|me-344
flutoprazepam||flunitrazepam|flurazepam|lorazepam|flunitrazepamum|flurazépam|fludiazepam|flurazepamum|delorazepam|flurazepam 30|phl-lorazepam
bisphosphonates||butylphosphonate|carbaphosphonate|bisphosphocin nu3|bisphosphocin nu-3|phosphate|diethyl phosphonate|phosphotec|isophosphamide|sodium phosphates|phospholine
mdpl3280a||gsk232802|mlta3698a|mdl72527|dp 2000|pl-1807|ddp-200|mk-3207|pl-1808|cdp323|ap5280
alisma plantago-aquatica var. orientale tuber||iris germanica var. florentina root|iris germanica var. florentina rhizome|health smart antibacterial hand original|ambling plant probiotics balance ampoule|ambling plant probiotics aqua role moisturizing|rehmannia glutinosa root tuber|panrosa antibacterial hand green apple|oral plan antibacterial dental floss|aris hand sanitizer with aloe vera|spatherapy anti-bacterial hand french lavender
weston double||sertindole|gestonorone|responsible|metronidazole|western dental|western family|estrone sulfate|estrone 3-oleate|misonidazole|stona cough
mdpl3208a||mlta3698a|mdl72527|mk-3207|ddp-200|dp 2000|cdp323|exdol 30tab|ly-3200882|mdl-29951|mediplast
biopharmacy||cvs pharmacy|biothrax|sp pharma|bionamics|home farmacy|mirapharm-22|mirapharm 22|biophex tr|iothalamate|lipiarmicin
vitamins (3-2)||vitamin b-2|vitamin b-12b|vitamin d3|vitamin h3|vitamin d2|vitamin l2|vitamin k3|vitamin k2|vitamin b2|vitamin d-3
alf||talc|aklief|halfan|nalfon|kale|wal fex|alferon|alfahga|alfenta|alfalfa
wakamoto||baramo|tagamet|nafamostat|oak moss|farampator|acamprosato|tekamlo|tazaroteno|febarbamato|kinzalmono
marzulene s||maxilene 5|camazulene|maxilene 4|cardene sr|darzalex sc|chamazulene|matulane|razupenem|marcaine e|guaiazulene
thimepidium bromide hydrate||scopolamine bromide trihydrate|silicon dioxide hydrate|magnesium aluminate hydrate|lithium hydroxide monohydrate|tropinium methobromide mandelate|silicic acid hydrate|aluminium chlorohydrate|zirconium chloride hydroxide|terpin cis-form hydrate|iron azide hydrate
bellaglucerase alpha (genetical recombination)||agalsidase alfa (genetical recombination)|agalsidase beta (genetical recombination)|aflibercept (genetical recombination)|alteplase (genetical recombination)|laronidase (genetical recombination)|galsulfase (genetical recombination)|liraglutide (genetical recombination)|burosumab (genetical recombination)|lenograstim (genetical recombination)|ocrelizumab (genetical recombination)
begetamine||benzfetamine|esketamine|ergotamine|benzenamine|betaine|benzphetamine|ketamine|betadine|tretamine|tiletamine
maruyama vaccine b||rspsma vaccine|varicella vaccine|ruti® vaccine|anthrax vaccine|plague vaccine|cholera vaccine|smallpox vaccine|pertussis vaccine|mar-galantamine er|rotavirus vaccine
chotosan||chitosamine|crotan|ahosan|cytosar|covisan|cytoxan|crotonal|cholasyn|photodyn|chamosyn
bacillus mesentericus||bacillus subtilis|lactobacillus helveticus|acidum mefenamicum|lactobacillus reuteri|bacillus tetani whole|bacillus casei e whole|acidum edeticum|acidum hopantenicum|acidum gadopenteticum|tlc plus anesthetic s
maruyama vaccine a||rspsma vaccine|varicella vaccine|ruti® vaccine|anthrax vaccine|plague vaccine|cholera vaccine|smallpox vaccine|pertussis vaccine|mar-galantamine er|magnamycin a
aoi chin kabuki||arco pain tab|anacin tablet|coricidin tab|sof skin baby|varibar thin liquid|aomi hand sanitizer|stomachin antacid|kaolin pectin sus|niacin aluminum|lichen barbatus
vp-16||vp-14637|pi-166|fp-1096|kp-1461|pp-121|nop-1a|pcl-016|vx-148|sp-876|nv-18
marutsu extract||mate extract|malt extract|marigold extract|mucor extract|capsicum extract|artemisia extract|pyrethrum extract|wheat rust extract|barley smut extract|walnut hull extract
vocolen||volumen|voluven|evoclin|bacolfen|octoclenz|levofolene|vosol|ocufen|azolen|dacogen
aja030||av100|am103|ax200|ac-430|asa 80|acam2000|atasol 30|apap 500|aslan003|amd-070
manic-depressive drug||nu-desmopressin spray|applicell intensive serum|ancient rice serum|ratio-dipivefrin|acnefree drying|vasopressin pig|maxi-tuss pe jr|air compressed|galidesivirum|fungicure professional formula
ahcc||adohcy|mcc|nahco3|avac|naphcon|asuccin|adcirca|hum cc|hucbcs|acacia
vitateral exp||vitaplex|mineralex|inderal xl|chateal eq|natural fx|vimeral tab|citranatal rx|vitafer - liq|antibacterial 2x|mineral wear
gastric digestive agent (general drug)||pca skin intensive pigment eraser|iaso progressive age care serum|neostrata daytime matifying renewal fluid|renk time lab intense age renewal serum|iaso progressive age care toner|dairy digestive ultra strength supplement|little remedies decongestant nasal drops|fastrin infection control skin repair|iaso progressive age care emulsion|nature origin collagen bb 02 natural beige
azulene||camazulene|azolen|razupenem|guaiazulene|chamazulene|zuplenz|zoalene|nauzene|squalene|azvudine
vitamin supplement||b-100 vitamin supplement|shen min vitamin supplement|real vitamin supplement cap|vitamin e dietary supplement|insur-all vitamin supplement|e-prime vitamin e supplement|v-v dietary supplement|liver supplement|aqua-s supplement|super-pote vitamin supplement
agents used for common cold||arrid extra dry for men solid|good sense tussin cf cough and cold|infants' fever from colds or flu|rx act tussin cf cough and cold|wal tussin cf cough and cold|power up for women bloom|scent-a-way odor control|ludens red hot cinnamon|giltuss cough and cold|careone tussin cf multi symptom cold
makiron||axiron|elmiron|maxidone|maxitrol|malarone|maldison|iron|dafiro|ak-con|mepron
protein amino acid preparation||garden snail mucin preparation|renamin (amino acids) injection|brown rice preparation|rosmarinus officinalis preparation|damiana leaf preparation|aloe ferox leaf preparation|siberian ginseng preparation|matricaria recutita preparation|serenoa preparation|corn starch preparation
agents for hyperlipidemias||allergy formula liquid gels|walgreens hypertonicity|benzoyl peroxide wash|magic for pain relief|dianeal for peritoneal dialysis|acetaminophen rapid release|winco foods hypoallergenic|axe forest antiperspirant|egg yolk phospholipids|sensodyne rapid relief
maintenance liquid (2)||maintenance warehouse|anti nausea liquid|ethrane liquid inh|antacid liquid susp|menjugate liquid|anti-nauseant liquid gels|antibacterial liquid hand|antibacterial liquid soap|nitrogen liquid 99%|tanac liquid
afa||safra|cafda|kava|avac|aftera|halfan|finafta|alfenta|alfalfa|cafeína
blood products||casey products|medshield products|brussel sprouts|blood stone|woa protect|blood stop liq|food processing|benz protect|baza protect|sol protect
vitamin bb plus kunihiro||vitamin e cap 50unit|vitamin b2 phosphate|vitamin b1 disulfide|vitamin b1 phosphate|vitamin e cap usp 1000unit|vitamine e cap usp 800unit|vitamin e caps usp 200unit|vitamin e capsules 400unit|vitamin e cap 200unit|vitamin e cap 400unit
vitamin b agent||vitamin b6 tablet|vitamin b tablets|vitamin e ont|vitamin e acetate|vitamin a and d|vitamin bt|vitamin b5 essence|vitamin b-12 tablet|vitamin a acid|vitamin b6 50mg
adrenal hormones (245)||adrenalin (epinephrine)|growth hormone (human)|parathyroid hormone (rdna)|citranatal harmony 2.1|adrenalin chloride sol 1:1000|luteinising hormone (human)|adrenalin(r)|adrenocorticotropic hormone 1-24|adrenalone|citranatal harmony 3.0
anti-tuberculosis agent||antibacterial mint scent|antibacterial citrus scent|acnida tuberculata pollen|amaranthus tuberculatus pollen|antibacterial original scent|anti-bacterial hand gemini|anti-itch regular strength|antibacterial disinfectant|anti-bacterial hand gel|antibacterial bandages
areca nut||pecan nut|carya pecan nut|articainum|arnica tct|peanut|precaine|arcalyst|carepanto|procainum|cashew nut
macrophage-colony stimulating factor||granulocyte colony stimulating factor|multipotential colony-stimulating factor|erythropoiesis stimulating factor|granulocyte colony-stimulating factor lenograstim|recombinant human granulocyte-macrophage colony stimulating factor|granulocyte colony-stimulating factor pegfilgrastim|platelet-activating factor|platelet activating factor|blood platelet-activating factor|glycosylated recombinant granulocyte colony stimulating factor
adna tranexamic||erfa-tranexamic|acidum tranexamicum|ácido tranexámico|acide tranéxamique|gd-tranexamic acid|trans-tranexamic acid|mar-tranexamic acid|pandas dream magic|tranexamic acid|acido aceneuramico
nimetazepam||nitrazepam|lormetazepam|medazepam|bentazepam|nitrazépam|tetrazepam|nordiazepam|nu-temazepam|nitrazepam-5|nitrazepamum
anxiolytics||antibiotic|kinlytic|h biotics|antispetic|antiseptic|isolyte s|angiotonin|atriopeptins|anisomycin|antiflu kids
lycium chinense||calcium chloride|calcium ions|lolium perenne|sodium choleate|calcium citrate|calcium caseinate|calcium threonate|cellpium shinyline|calcium folinate|calcium cation
kobamamid||cobamamida|cobamamide|cobamamidum|cobanamida|cobalamin|tolazamid|foam aid|karbamid|tolazamide|tolazamida
ly3009806||ly-3200882|ly-3039478|ly-2300559|als-008176|ly-2090314|ly-2608204|ly2181308|ly341770|sd-0006|r-30490
antiepileptic drug||antiseptic hand rub|antiseptic gel|antiseptic hand|antibiotic drops|antiseptic wash|antiseptic wipe|antiseptic swab|antiseptic rinse|antiseptic tissue|antiseptic liquid
ly21273||ly2140023|ly-2452473|ly2828360|ly2181308|ly2062430|lana1263|ly-2811376|hy10275|ly341770|ly-2334737
actage an||acetate ion|acetate anion|atogepant|active again|adagen|betagan|acneban|acoalan|acclean|altavera
antiviral agent (general drug)||antimicrobial hand cleanser (value line)|universal antibacterial wipes|lentiviral minigene vaccine|anti-bacterial hand tropical fruit|antibacterial hand lavender sage|anti-bacterial hand goal digger|antibacterial hand gingerbread|antiperspirant above teen dream big|universal lavender scent petroleum|anti-bacterial hand caramel dream
gamma-oryzanol||gamma-tocopherol|gamma-lindane|d-gamma-tocopherol|gamma oil|gamma-thio-atp|alpha-zeranol|gamma-butyrolactone|gamma-vinyl gaba|jamp-allopurinol|pms-butorphanol
virus vaccines||rotavirus vaccine|ruti® vaccine|pertussis vaccine|rubella virus vaccine|rspsma vaccine|cvncov vaccine|dengue vaccine|plague vaccine|vivacaine|virus gone
antiprotozoal||anastrozol|pantoprazol|antimicrobial|antizol|anastrozole|metipranolol|pantoprazole|optipranolol|antibacterial|apricot oil
aconitum spp. processed root||dong quai processed root|angelica sinensis processed root|rehmannia glutinosa processed root|glycyrrhiza glabra processed root|fallopia multiflora processed root tuber|curcuma soloensis root|kaempferia procumbens root|atractylis chinensis root|absinthium spicatum root|chinese knotweed root
versadan gk granules||urasal granules|e-z-gas 2 granules|colestid orange granules|entacyl granules|senokot granules|bekunis light granules|pancrex granules|aspirin granules|colestid granules|valerian 500mg capsules
lulu attack ib ace||rexall antacid advanced|purpleu baobab face|brut black ice|l-glutaminic acid|l-glutamic acid|ultratag rbc|lamisil at jock itch|glacial acetic acid|lucky antibacterial|glutamic acid amide
aconitine acid||clonidine hci|acetic acid|nicotinic acid|arotinoid acid|arotinoic acid|palmitinic acid|citric acid|lactic acid|nitric acid|asiatic acid
antihypertensive drug||nymphsyn intensive serum|applicell intensive serum|skin active intensive day|plagentra intensive care|hypertensin|anti-wrinkle intensive day cream|antiperspirant above urban|antiperspirant above fresh|the barafu intensive serum|antiperspirant above lady
lulu attack ib||multipack ii|uline antacid|alkums antacid|calcium antacid|rexall antacid|multitrace -4|counteract ib|ultratag rbc|plush anesthetics b|equaline antacid
achyranthes bidentata root||atractylodes erosodentata root|atractylis ovata root|atractylis lyrata root|atractylodes ovata root|atractylodes lyrata root|ambrosia bidentata pollen|atractylodes chinensis root|atractylis separate root|atractylis pinnatifolia root|chinese ginseng root
veradonna total alkaloid||arrid total - solid|dihydrogenated ergot alkaloids|hydrogenated ergot alkaloids|rauwolfia alkaloids|neocitran total cold|ventolin oral liquid|leader oral analgesic|donnatal elixir|therapytion natural relaxing|rocainol topical analgesic
lukinon ace lock v||nu skin ageloc me|fluocinolon acetonid|beauticontrol cell block c|fluocinolone acetonide|glubionate calcium|glytone acne back|limonade rodeca|fluocinoloni acetonidum|elastology age blocker|gluconic acid lactone
other biopharmacy||health mart pharmacy|cvs pharmacy|good neighbor pharmacy|pocket farmacy|super mirapharm|home farmacy|traveling farmacy|super medipharm|northern brown shrimp|after bite advanced
lubrin||elubrixin|lupron|liprin|lutein|oubain|nubain|laurine|fluvirin|numbrino|alunbrig
amino acid preparation for renal failure (1-1)||cold preparation for cough and sinus relief|antacid peppermint flavour regular strength|family care preservative free single use|gaviscon acid relief formula tablets|rimmel london match perfection foundation - ivory (120)|no7 advanced hydration day cream sunscreen spf 12|easydew ex repair control renewal moisture|pharmacys prescription 8oz hand sanitizer|sano ti amo relief and repair pain relief|glutamic acid pepsin and betaine tablets
low dose steroids||low dose aspirin|low dose aspirin low dose|81 mg low dose aspirin|docusate sennosides|adult low dose aspirin|leader low dose aspirin|16oz hydrogen peroxide|16oz hydorgen peroxide|32oz hydrogen peroxide|love nose easy powder
vegatron||pegetron|vigadrone|metastron|pegintron|gestatron|egaten|g tron|decadron|betapron|vibegron
maintenance liquid (9)||maintenance warehouse|anti nausea liquid|ethrane liquid inh|antacid liquid susp|nitrogen liquid 99%|menjugate liquid|anti-nauseant liquid gels|pain relief liquid|tanac liquid|antiseptic liquid
vb1||vb-201|vb2-011|kcb-1|nv-18|vgv-1|ab192|rb106|jb991|grb 1|acv-1
low dose pill||low dose aspirin|dodds pills|mkh dose pack|lodgepole pine|one dose pharm|vaso dose pack|allerx dose pack|adult low dose aspirin|yellow pine pollen|laxative pills
